title,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,vote_average,vote_count,director
Superman Returns,270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",en,57.925623,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",['United States of America'],2006-06-28,391081192,5.4,1400,Bryan Singer
Quantum of Solace,200000000,"['Adventure', 'Action', 'Thriller', 'Crime']",en,107.928811,['Eon Productions'],"['United Kingdom', 'United States of America']",2008-10-30,586090727,6.1,2965,Marc Forster
Pirates of the Caribbean: Dead Man's Chest,200000000,"['Adventure', 'Fantasy', 'Action']",en,145.847379,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",2006-06-20,1065659812,7.0,5246,Gore Verbinski
The Lone Ranger,255000000,"['Action', 'Adventure', 'Western']",en,49.046956,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",['United States of America'],2013-07-03,89289910,5.9,2311,Gore Verbinski
Man of Steel,225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,99.398009,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']","['United Kingdom', 'United States of America']",2013-06-12,662845518,6.5,6359,Zack Snyder
The Chronicles of Narnia: Prince Caspian,225000000,"['Adventure', 'Family', 'Fantasy']",en,53.978602,"['Walt Disney', 'Walden Media', 'Stillking Films', 'Ozumi Films', 'Propeler', 'Silverbell Films', 'Revolution Sun Studios']","['Czech Republic', 'Poland', 'Slovenia', 'United States of America']",2008-05-15,419651413,6.3,1630,Andrew Adamson
The Avengers,220000000,"['Science Fiction', 'Action', 'Adventure']",en,144.448633,"['Paramount Pictures', 'Marvel Studios']",['United States of America'],2012-04-25,1519557910,7.4,11776,Joss Whedon
Pirates of the Caribbean: On Stranger Tides,380000000,"['Adventure', 'Action', 'Fantasy']",en,135.413856,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['United States of America'],2011-05-14,1045713802,6.4,4948,Rob Marshall
Men in Black 3,225000000,"['Action', 'Comedy', 'Science Fiction']",en,52.035179,"['Amblin Entertainment', 'Media Magik Entertainment', 'Imagenation Abu Dhabi FZ', 'Hemisphere Media Capital', 'Parkes/MacDonald Productions']",['United States of America'],2012-05-23,624026776,6.2,4160,Barry Sonnenfeld
The Hobbit: The Battle of the Five Armies,250000000,"['Action', 'Adventure', 'Fantasy']",en,120.965743,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', '3Foot7', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']",2014-12-10,956019788,7.1,4760,Peter Jackson
The Amazing Spider-Man,215000000,"['Action', 'Adventure', 'Fantasy']",en,89.866276,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Entertainment']",['United States of America'],2012-06-27,752215857,6.5,6586,Marc Webb
Robin Hood,200000000,"['Action', 'Adventure']",en,37.668301,"['Imagine Entertainment', 'Universal Pictures', 'Scott Free Productions', 'Relativity Media']","['United Kingdom', 'United States of America']",2010-05-12,310669540,6.2,1398,Ridley Scott
The Hobbit: The Desolation of Smaug,250000000,"['Adventure', 'Fantasy']",en,94.370564,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']",2013-12-11,958400000,7.6,4524,Peter Jackson
The Golden Compass,180000000,"['Adventure', 'Fantasy']",en,42.990906,"['New Line Cinema', 'Ingenious Film Partners', 'Depth of Field', 'Scholastic Productions']","['United Kingdom', 'United States of America']",2007-12-04,372234864,5.8,1303,Chris Weitz
King Kong,207000000,"['Adventure', 'Drama', 'Action']",en,61.22601,"['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']","['New Zealand', 'United States of America', 'Germany']",2005-12-14,550000000,6.6,2337,Peter Jackson
Titanic,200000000,"['Drama', 'Romance', 'Thriller']",en,100.025899,"['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['United States of America'],1997-11-18,1845034188,7.5,7562,James Cameron
Captain America: Civil War,250000000,"['Adventure', 'Action', 'Science Fiction']",en,198.372395,"['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",['United States of America'],2016-04-27,1153304495,7.1,7241,Anthony Russo
Battleship,209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",en,64.928382,"['Universal Pictures', 'Hasbro', 'Bluegrass Films', 'Film 44']",['United States of America'],2012-04-11,303025485,5.5,2114,Peter Berg
Skyfall,200000000,"['Action', 'Adventure', 'Thriller']",en,93.004993,['Columbia Pictures'],"['United Kingdom', 'United States of America']",2012-10-25,1108561013,6.9,7604,Sam Mendes
Spider-Man 2,200000000,"['Action', 'Adventure', 'Fantasy']",en,35.149586,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",['United States of America'],2004-06-25,783766341,6.7,4321,Sam Raimi
Iron Man 3,200000000,"['Action', 'Adventure', 'Science Fiction']",en,77.68208,['Marvel Studios'],"['China', 'United States of America']",2013-04-18,1215439994,6.8,8806,Shane Black
Alice in Wonderland,200000000,"['Family', 'Fantasy', 'Adventure']",en,78.530105,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",['United States of America'],2010-03-03,1025491110,6.4,4645,Tim Burton
X-Men: The Last Stand,210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",en,3.857526,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Major Studio Partners', 'Bad Hat Harry Productions', 'thinkfilm', 'Marvel Enterprises', 'X3 Canada Productions', 'X3US Productions', 'XM3 Service']","['Canada', 'United Kingdom', 'United States of America']",2006-05-24,459359555,6.3,3525,Brett Ratner
Monsters University,200000000,"['Animation', 'Family']",en,89.186492,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2013-06-20,743559607,7.0,3528,Dan Scanlon
Transformers: Revenge of the Fallen,150000000,"['Science Fiction', 'Action', 'Adventure']",en,21.939663,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'Hasbro Studios', 'Revolution Sun Studios']",['United States of America'],2009-06-19,836297228,6.0,3138,Michael Bay
Transformers: Age of Extinction,210000000,"['Science Fiction', 'Action', 'Adventure']",en,116.840296,"['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",['United States of America'],2014-06-25,1091405097,5.8,3095,Michael Bay
Oz: The Great and Powerful,200000000,"['Fantasy', 'Adventure', 'Family']",en,46.985445,"['Walt Disney Pictures', 'Roth Films']",['United States of America'],2013-03-07,491868548,5.7,3530,Sam Raimi
The Amazing Spider-Man 2,200000000,"['Action', 'Adventure', 'Fantasy']",en,89.270217,"['Columbia Pictures', 'Marvel Enterprises', 'Avi Arad Productions', 'Matt Tolmach Productions']",['United States of America'],2014-04-16,705717432,6.5,4179,Marc Webb
TRON: Legacy,170000000,"['Adventure', 'Action', 'Science Fiction']",en,73.79505,"['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",['United States of America'],2010-12-10,400062763,6.3,2841,Joseph Kosinski
Cars 2,200000000,"['Animation', 'Family', 'Adventure', 'Comedy']",en,49.98659,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2011-06-11,559852396,5.8,2033,John Lasseter
Green Lantern,200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,51.872839,"['De Line Pictures', 'Warner Bros.', 'DC Entertainment']",['United States of America'],2011-06-16,219851172,5.1,2487,Martin Campbell
Toy Story 3,200000000,"['Animation', 'Family', 'Comedy']",en,59.995418,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2010-06-16,1066969703,7.6,4597,Lee Unkrich
Terminator Salvation,200000000,"['Action', 'Science Fiction', 'Thriller']",en,71.862892,"['Columbia Pictures', 'The Halcyon Company', 'Wonderland Sound and Vision', 'Warner Bros.']","['Germany', 'Italy', 'United Kingdom', 'United States of America']",2009-05-20,371353001,5.9,2463,McG
Furious 7,190000000,['Action'],en,102.322217,"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'Québec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']","['Japan', 'United States of America']",2015-04-01,1506249360,7.3,4176,James Wan
World War Z,200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",en,81.834855,"['Paramount Pictures', 'GK Films', 'Skydance Productions', 'Hemisphere Media Capital', 'Apparatus Productions', 'Latina Pictures', '2DUX²']","['United States of America', 'Malta']",2013-06-20,531865000,6.7,5560,Marc Forster
X-Men: Days of Future Past,250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",en,118.078691,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Down Productions', 'Revolution Sun Studios']","['United Kingdom', 'United States of America']",2014-05-15,747862775,7.5,6032,Bryan Singer
Star Trek Into Darkness,190000000,"['Action', 'Adventure', 'Science Fiction']",en,78.291018,"['Paramount Pictures', 'Skydance Productions', 'Bad Robot', 'Kurtzman/Orci']",['United States of America'],2013-05-05,467365246,7.4,4418,J.J. Abrams
Jack the Giant Slayer,195000000,"['Action', 'Family', 'Fantasy']",en,43.349855,"['New Line Cinema', 'Original Film', 'Legendary Pictures', 'Warner Bros.', 'Big Kid Pictures', 'Bad Hat Harry Productions']",['United States of America'],2013-02-27,197687603,5.5,2598,Bryan Singer
The Great Gatsby,105000000,"['Drama', 'Romance']",en,61.196071,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']","['United States of America', 'Australia']",2013-05-10,351040419,7.3,3769,Baz Luhrmann
Prince of Persia: The Sands of Time,150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']",en,62.169881,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['United States of America'],2010-05-19,335154643,6.2,2317,Mike Newell
Pacific Rim,180000000,"['Action', 'Science Fiction', 'Adventure']",en,56.523205,"['Legendary Pictures', 'Warner Bros.', 'Disney Double Dare You (DDY)', 'Indochina Productions']","['United States of America', 'Canada']",2013-07-11,407602906,6.7,4794,Guillermo del Toro
Transformers: Dark of the Moon,195000000,"['Action', 'Science Fiction', 'Adventure']",en,28.529607,"['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",['United States of America'],2011-06-28,1123746996,6.1,3299,Michael Bay
Indiana Jones and the Kingdom of the Crystal Skull,185000000,"['Adventure', 'Action']",en,75.674458,"['Lucasfilm', 'Paramount Pictures']",['United States of America'],2008-05-21,786636033,5.7,2495,Steven Spielberg
The Good Dinosaur,175000000,"['Adventure', 'Animation', 'Family']",en,51.692953,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2015-11-14,331926147,6.6,1736,Peter Sohn
Brave,185000000,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",en,125.114374,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2012-06-21,538983207,6.7,4641,Brenda Chapman
Star Trek Beyond,185000000,"['Action', 'Adventure', 'Science Fiction']",en,65.352913,"['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']",['United States of America'],2016-07-07,343471816,6.6,2568,Justin Lin
WALLÂ·E,180000000,"['Animation', 'Family']",en,66.390712,"['Walt Disney Pictures', 'Pixar Animation Studios', 'FortyFour Studios']",['United States of America'],2008-06-22,521311860,7.8,6296,Andrew Stanton
Rush Hour 3,140000000,"['Action', 'Comedy', 'Crime', 'Thriller']",en,22.57178,['New Line Cinema'],['United States of America'],2007-08-08,258022233,6.1,783,Brett Ratner
2012,200000000,"['Action', 'Adventure', 'Science Fiction']",en,45.274225,"['Columbia Pictures', 'Centropolis Entertainment', 'The Mark Gordon Company', 'Farewell Productions']","['Canada', 'United States of America']",2009-10-10,769653595,5.6,4903,Roland Emmerich
A Christmas Carol,200000000,"['Animation', 'Drama']",en,39.744242,"['Walt Disney', 'ImageMovers']",['United States of America'],2009-11-04,325233863,6.6,1095,Robert Zemeckis
Jupiter Ascending,176000003,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",en,85.36908,"['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",['United States of America'],2015-02-04,183987723,5.2,2768,Lilly Wachowski
The Legend of Tarzan,180000000,"['Action', 'Adventure']",en,42.741719,"['Village Roadshow Pictures', 'Dark Horse Entertainment', 'Jerry Weintraub Productions', 'RatPac-Dune Entertainment', 'Beagle Pug Films', 'Riche Productions', 'Village Roadshow Films North America']","['Canada', 'United Kingdom', 'United States of America']",2016-06-29,356743061,5.5,2430,David Yates
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,"['Adventure', 'Family', 'Fantasy']",en,67.391328,"['Walt Disney', 'Walden Media']","['United Kingdom', 'United States of America']",2005-12-07,748806957,6.7,2629,Andrew Adamson
X-Men: Apocalypse,178000000,['Science Fiction'],en,139.272042,"['Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Marvel Entertainment', 'Bad Hat Harry Productions', 'TSG Entertainment', 'Kinberg Genre']",['United States of America'],2016-05-18,543934787,6.4,4721,Bryan Singer
The Dark Knight,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",en,187.322927,"['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']","['United Kingdom', 'United States of America']",2008-07-16,1004558444,8.2,12002,Christopher Nolan
Up,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",en,92.201962,['Pixar Animation Studios'],['United States of America'],2009-05-13,735099082,7.7,6870,Pete Docter
Monsters vs Aliens,175000000,"['Animation', 'Family', 'Adventure', 'Science Fiction']",en,36.167578,['DreamWorks Animation'],['United States of America'],2009-03-19,381509870,6.0,1423,Conrad Vernon
Iron Man,140000000,"['Action', 'Science Fiction', 'Adventure']",en,120.725053,['Marvel Studios'],['United States of America'],2008-04-30,585174222,7.4,8776,Jon Favreau
Hugo,170000000,"['Adventure', 'Drama', 'Family']",en,32.319043,"['Paramount Pictures', 'Infinitum Nihil', 'GK Films']","['France', 'United States of America', 'United Kingdom']",2011-11-22,185770160,7.0,2141,Martin Scorsese
Wild Wild West,170000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",en,40.748915,"['Todman, Simon, LeMasters Productions', 'Warner Bros.', 'Peters Entertainment', 'Sonnenfeld Josephson Worldwide Entertainment']",['United States of America'],1999-06-29,222104681,5.1,1020,Barry Sonnenfeld
Suicide Squad,175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",en,90.23792,"['DC Comics', 'Dune Entertainment', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment']",['United States of America'],2016-08-02,745000000,5.9,7458,David Ayer
Evan Almighty,175000000,"['Fantasy', 'Comedy', 'Family']",en,27.082182,"['Columbia Pictures', 'Universal Pictures', 'Spyglass Entertainment', 'Shady Acres Entertainment', 'Original Film', 'Playtone', 'Relativity Media']",['United States of America'],2007-06-09,173000000,5.3,1151,Tom Shadyac
Edge of Tomorrow,178000000,"['Action', 'Science Fiction']",en,79.456485,"['Village Roadshow Pictures', 'Warner Bros.', 'Viz Media', 'Province of British Columbia Production Services Tax Credit', '3 Arts Entertainment', 'RatPac-Dune Entertainment']","['Australia', 'United States of America']",2014-05-27,370541256,7.6,4858,Doug Liman
Waterworld,175000000,"['Adventure', 'Action']",en,44.640292,"['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",['United States of America'],1995-07-28,264218220,5.9,992,Kevin Reynolds
G.I. Joe: The Rise of Cobra,175000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",en,32.852443,"['Paramount Pictures', 'Spyglass Entertainment', 'Di Bonaventura Pictures', 'Hasbro', 'Kontsept Film Company']","['Czech Republic', 'United States of America']",2009-08-04,302469017,5.6,1962,Stephen Sommers
Inside Out,175000000,"['Drama', 'Comedy', 'Animation', 'Family']",en,128.655964,"['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America'],2015-06-09,857611174,8.0,6560,Pete Docter
The Jungle Book,175000000,"['Family', 'Adventure', 'Drama', 'Fantasy']",en,94.199316,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Fairview Entertainment', 'Moving Picture Company (MPC)']","['United Kingdom', 'United States of America']",2016-04-07,966550600,6.7,2892,Jon Favreau
Iron Man 2,200000000,"['Adventure', 'Action', 'Science Fiction']",en,77.300194,['Marvel Studios'],['United States of America'],2010-04-28,623933331,6.6,6849,Jon Favreau
Snow White and the Huntsman,170000000,"['Adventure', 'Fantasy', 'Drama']",en,77.178973,"['Universal Pictures', 'Roth Films']",['United States of America'],2012-05-30,396600000,5.8,3118,Rupert Sanders
Maleficent,180000000,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",en,110.620647,"['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']",['United States of America'],2014-05-28,758539785,7.0,4496,Robert Stromberg
Dawn of the Planet of the Apes,170000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",en,243.791743,"['Ingenious Media', 'Chernin Entertainment', 'TSG Entertainment']",['United States of America'],2014-06-26,710644566,7.3,4410,Matt Reeves
47 Ronin,175000000,"['Drama', 'Action', 'Adventure', 'Fantasy']",en,41.796339,"['Mid Atlantic Films', 'Stuber Productions', 'Universal', 'Moving Picture Company (MPC)', 'H2F Entertainment']",['United States of America'],2013-12-06,150962475,5.9,1326,Carl Rinsch
Captain America: The Winter Soldier,170000000,"['Action', 'Adventure', 'Science Fiction']",en,72.225265,['Marvel Studios'],['United States of America'],2014-03-20,714766572,7.6,5764,Anthony Russo
Shrek Forever After,165000000,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",en,44.041186,['DreamWorks Animation'],['United States of America'],2010-05-16,752600867,6.0,1959,Mike Mitchell
Tomorrowland,190000000,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",en,130.311355,"['Walt Disney Pictures', 'Babieka', 'A113']",['United States of America'],2015-05-19,209154322,6.2,2846,Brad Bird
Big Hero 6,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",en,203.73459,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],2014-10-24,652105443,7.8,6135,Chris Williams
Wreck-It Ralph,165000000,"['Family', 'Animation', 'Comedy', 'Adventure']",en,62.341073,['Walt Disney Animation Studios'],['United States of America'],2012-11-01,471222889,7.1,4570,Rich Moore
The Polar Express,165000000,"['Adventure', 'Animation', 'Family', 'Fantasy']",en,47.323228,"['Golden Mean', 'Playtone', 'ImageMovers']",['United States of America'],2004-11-10,305875730,6.4,1474,Robert Zemeckis
Independence Day: Resurgence,165000000,"['Action', 'Adventure', 'Science Fiction']",en,48.775723,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment', 'TSG Entertainment', 'Stereo D']",['United States of America'],2016-06-22,389681935,4.9,2491,Roland Emmerich
How to Train Your Dragon,165000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",en,67.263269,"['DreamWorks Animation', 'Vertigo Entertainment', 'Mad Hatter Entertainment']",['United States of America'],2010-03-05,494878759,7.5,4227,Chris Sanders
Terminator 3: Rise of the Machines,200000000,"['Action', 'Thriller', 'Science Fiction']",en,69.405188,"['Columbia Pictures', 'Intermedia Films', 'Warner Bros.', 'C-2 Pictures', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'Mostow/Lieberman Productions']","['Germany', 'United Kingdom', 'United States of America']",2003-07-02,435000000,5.9,2143,Jonathan Mostow
Guardians of the Galaxy,170000000,"['Action', 'Science Fiction', 'Adventure']",en,481.098624,"['Marvel Studios', 'Moving Picture Company (MPC)', 'Bulletproof Cupid', 'Revolution Sun Studios']","['United Kingdom', 'United States of America']",2014-07-30,773328629,7.9,9742,James Gunn
Interstellar,165000000,"['Adventure', 'Drama', 'Science Fiction']",en,724.247784,"['Paramount Pictures', 'Legendary Pictures', 'Warner Bros.', 'Syncopy', 'Lynda Obst Productions']","['Canada', 'United States of America', 'United Kingdom']",2014-11-05,675120017,8.1,10867,Christopher Nolan
Inception,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",en,167.58371,"['Legendary Pictures', 'Warner Bros.', 'Syncopy']","['United Kingdom', 'United States of America']",2010-07-14,825532764,8.1,13752,Christopher Nolan
Shin Godzilla,15000000,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",ja,9.476999,"['Cine Bazar', 'Toho Pictures']",['Japan'],2016-07-29,77000000,6.5,143,Hideaki Anno
The Hobbit: An Unexpected Journey,250000000,"['Adventure', 'Fantasy', 'Action']",en,108.849621,"['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']",2012-11-26,1021103568,7.0,8297,Peter Jackson
The Fast and the Furious,38000000,"['Action', 'Crime', 'Thriller']",en,6.909942,"['Universal Pictures', 'Original Film', 'Ardustry Entertainment', 'Mediastream Film GmbH & Co. Productions KG']","['Germany', 'United States of America']",2001-06-22,207283925,6.6,3428,Rob Cohen
The Curious Case of Benjamin Button,150000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",en,60.269279,"['Paramount Pictures', 'Warner Bros.', 'Kennedy/Marshall Company, The']",['United States of America'],2008-11-24,333932083,7.3,3292,David Fincher
X-Men: First Class,160000000,"['Action', 'Science Fiction', 'Adventure']",en,3.195174,"['Ingenious Film Partners', 'Ingenious Media', 'Twentieth Century Fox Film Corporation', ""Donners' Company"", 'Dune Entertainment', 'Dune Entertainment III', 'Marvel Entertainment', 'Bad Hat Harry Productions', 'Big Screen Productions']",['United States of America'],2011-05-24,353624124,7.1,5181,Matthew Vaughn
The Hunger Games: Mockingjay - Part 2,160000000,"['Action', 'Adventure', 'Science Fiction']",en,127.284427,"['Studio Babelsberg', 'Lionsgate', 'Color Force']","['Germany', 'United States of America']",2015-11-18,653428261,6.6,3984,Francis Lawrence
The Sorcerer's Apprentice,150000000,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",en,35.580815,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Broken Road Productions', 'Junction Entertainment']",['United States of America'],2010-07-13,215283742,5.8,1470,Jon Turteltaub
Poseidon,160000000,"['Adventure', 'Action', 'Drama', 'Thriller']",en,21.133748,"['Virtual Studios', 'Next Entertainment', 'Warner Bros.', 'Irwin Allen Productions', 'Radiant Productions', 'Synthesis Entertainment']",['United States of America'],2006-05-12,181674817,5.5,583,Wolfgang Petersen
Alice Through the Looking Glass,170000000,['Fantasy'],en,56.268916,"['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Legend3D']","['United Kingdom', 'United States of America']",2016-05-25,299370084,6.5,1725,James Bobin
Shrek the Third,160000000,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",en,42.986467,"['DreamWorks SKG', 'DreamWorks Animation']",['United States of America'],2007-05-17,798958165,6.0,2278,Chris Miller
Warcraft,160000000,"['Action', 'Adventure', 'Fantasy']",en,63.148529,"['Universal Pictures', 'Atlas Entertainment', 'Legendary Pictures', 'Blizzard Entertainment']","['Canada', 'China', 'Japan', 'United States of America']",2016-05-25,433677183,6.3,2268,Duncan Jones
Terminator Genisys,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",en,202.042635,"['Paramount Pictures', 'Annapurna Pictures', 'Skydance Media']",['United States of America'],2015-06-23,440603537,5.8,3631,Alan Taylor
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,"['Adventure', 'Family', 'Fantasy']",en,49.661984,"['Dune Entertainment', 'Fox 2000 Pictures', 'Walden Media']",['United States of America'],2010-08-13,415686217,6.2,1514,Michael Apted
Pearl Harbor,140000000,"['History', 'Romance', 'War']",en,34.20669,"['Jerry Bruckheimer Films', 'Touchstone Pictures']",['United States of America'],2001-05-21,449220945,6.6,1791,Michael Bay
Transformers,150000000,"['Adventure', 'Science Fiction', 'Action']",en,25.468493,"['Paramount Pictures', 'DreamWorks SKG', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'thinkfilm', 'SprocketHeads', 'Hasbro Studios', 'Revolution Sun Studios']",['United States of America'],2007-06-27,709709780,6.6,4040,Michael Bay
